,x
50_0-50_3,0.001666667
50_0-50_6,0.001666667
50_0-7_0,0.001666667
50_0-7_3,0.003
50_0-7_6,0.96
50_3-50_6,0.701785714
50_3-7_0,0.001666667
50_3-7_3,0.001666667
50_3-7_6,0.001666667
50_6-7_0,0.001666667
50_6-7_3,0.001666667
50_6-7_6,0.001666667
7_0-7_3,0.692307692
7_0-7_6,0.00375
7_3-7_6,0.00375
